n,a,k,L,d
508,702,701,1,1
509,703,701,1,2
510,705,19,37,2
511,707,2,353,1
512,708,7,101,1
513,709,2,354,1
514,710,7,101,3
515,713,2,356,1
516,714,23,31,1
517,715,2,357,1
518,716,5,143,1
519,717,2,358,1
520,718,3,239,1
521,719,3,239,2
522,721,719,1,2
523,723,7,103,2
524,725,2,362,1
525,726,5,145,1
526,727,2,363,1
527,728,5,145,3
528,731,3,243,2
529,733,2,366,1
530,734,733,1,1
531,735,2,367,1
532,736,3,245,1
533,737,3,245,2
534,739,2,369,1
535,740,739,1,1
536,741,2,370,1
537,742,3,247,1
538,743,2,371,1
539,744,743,1,1
540,745,743,1,2
541,747,2,373,1
542,748,3,249,1
543,749,2,374,1
544,750,7,107,1
545,751,7,107,2
546,753,751,1,2
547,755,3,251,2
548,757,2,378,1
549,758,757,1,1
550,759,757,1,2
551,761,2,380,1
552,762,761,1,1
553,763,2,381,1
554,764,7,109,1
555,765,2,382,1
556,766,3,255,1
557,767,3,255,2
558,769,2,384,1
559,770,769,1,1
560,771,769,1,2
561,773,2,386,1
562,774,257,3,3
563,777,5,155,2
564,779,2,389,1
565,780,19,41,1
566,781,2,390,1
567,782,11,71,1
568,783,11,71,2
569,785,2,392,1
570,786,5,157,1
571,787,2,393,1
572,788,787,1,1
573,789,2,394,1
574,790,3,263,1
575,791,3,263,2
576,793,7,113,2
577,795,13,61,2
578,797,2,398,1
579,798,797,1,1
580,799,797,1,2
581,801,17,47,2
582,803,3,267,2
583,805,2,402,1
584,806,5,161,1
585,807,5,161,2
586,809,3,269,2
587,811,2,405,1
588,812,811,1,1
589,813,2,406,1
590,814,3,271,1
591,815,3,271,2
592,817,11,74,3
593,820,3,273,1
594,821,2,410,1
595,822,821,1,1
596,823,2,411,1
597,824,823,1,1
598,825,2,412,1
599,826,3,275,1
600,827,3,275,2
601,829,2,414,1
602,830,829,1,1
603,831,2,415,1
604,832,3,277,1
605,833,2,416,1
606,834,7,119,1
607,835,2,417,1
608,836,5,167,1
609,837,2,418,1
610,838,3,279,1
611,839,2,419,1
612,840,9,93,3
613,843,29,29,2
614,845,2,422,1
615,846,281,3,3
616,849,7,121,2
617,851,2,425,1
618,852,23,37,1
619,853,2,426,1
620,854,853,1,1
621,855,853,1,2
622,857,2,428,1
623,858,857,1,1
624,859,2,429,1
625,860,859,1,1
626,861,2,430,1
627,862,3,287,1
628,863,2,431,1
629,864,863,1,1
630,865,7,123,4
631,869,2,434,1
632,870,11,79,1
633,871,4,217,3
634,874,3,291,1
635,875,3,291,2
636,877,2,438,1
637,878,877,1,1
638,879,877,1,2
639,881,3,293,2
640,883,2,441,1
641,884,883,1,1
642,885,2,442,1
643,886,3,295,1
644,887,3,295,2
645,889,5,177,4
646,893,2,446,1
647,894,19,47,1
648,895,19,47,2
649,897,5,179,2
650,899,3,299,2
651,901,2,450,1
652,902,17,53,1
653,903,17,53,2
654,905,2,452,1
655,906,5,181,1
656,907,2,453,1
657,908,907,1,1
658,909,2,454,1
659,910,3,303,1
660,911,2,455,1
661,912,911,1,1
662,913,911,1,2
663,915,11,83,2
664,917,2,458,1
665,918,7,131,1
666,919,2,459,1
667,920,919,1,1
668,921,919,1,2
669,923,2,461,1
670,924,461,2,2
671,926,13,71,3
672,929,2,464,1
673,930,929,1,1
674,931,2,465,1
675,932,7,133,1
676,933,2,466,1
677,934,3,311,1
678,935,3,311,2
679,937,2,468,1
680,938,937,1,1
681,939,2,469,1
