n;A032924;weight;level;jump
3009;117736;3;39245;1
3010;117737;6;19622;5
3011;117742;3;39247;1
3012;117743;3;39247;2
3013;117745;2;58872;1
3014;117746;9811;12;14
3015;117760;3;39253;1
3016;117761;3;39253;2
3017;117763;2;58881;1
3018;117764;17;6927;5
3019;117769;2;58884;1
3020;117770;3;39256;2
3021;117772;3;39257;1
3022;117773;9811;12;41
3023;117814;3;39271;1
3024;117815;3;39271;2
3025;117817;2;58908;1
3026;117818;173;681;5
3027;117823;2;58911;1
3028;117824;3;39274;2
3029;117826;3;39275;1
3030;117827;173;681;14
3031;117841;2;58920;1
3032;117842;3;39280;2
3033;117844;3;39281;1
3034;117845;6;19640;5
3035;117850;3;39283;1
3036;117851;3;39283;2
3037;117853;2;58926;1
3038;117854;9811;12;122
3039;117976;3;39325;1
3040;117977;3;39325;2
3041;117979;2;58989;1
3042;117980;11;10725;5
3043;117985;2;58992;1
3044;117986;3;39328;2
3045;117988;3;39329;1
3046;117989;15;7865;14
3047;118003;2;59001;1
3048;118004;3;39334;2
3049;118006;3;39335;1
3050;118007;6;19667;5
3051;118012;3;39337;1
3052;118013;3;39337;2
3053;118015;2;59007;1
3054;118016;55;2145;41
3055;118057;2;59028;1
3056;118058;3;39352;2
3057;118060;3;39353;1
3058;118061;6;19676;5
3059;118066;3;39355;1
3060;118067;3;39355;2
3061;118069;2;59034;1
3062;118070;24;4919;14
3063;118084;3;39361;1
3064;118085;3;39361;2
3065;118087;2;59043;1
3066;118088;7;16869;5
3067;118093;2;59046;1
3068;118094;3;39364;2
3069;118096;3;39365;1
3070;118097;44286;2;29525
3071;147622;3;49207;1
3072;147623;3;49207;2
3073;147625;2;73812;1
3074;147626;49207;3;5
3075;147631;2;73815;1
3076;147632;3;49210;2
3077;147634;3;49211;1
3078;147635;49207;3;14
3079;147649;2;73824;1
3080;147650;3;49216;2
3081;147652;3;49217;1
3082;147653;6;24608;5
3083;147658;3;49219;1
3084;147659;3;49219;2
3085;147661;2;73830;1
3086;147662;49207;3;41
3087;147703;2;73851;1
3088;147704;3;49234;2
3089;147706;3;49235;1
3090;147707;6;24617;5
3091;147712;3;49237;1
3092;147713;3;49237;2
3093;147715;2;73857;1
3094;147716;103;1434;14
3095;147730;3;49243;1
3096;147731;3;49243;2
3097;147733;2;73866;1
3098;147734;23;6423;5
3099;147739;2;73869;1
3100;147740;3;49246;2
3101;147742;3;49247;1
3102;147743;49207;3;122
3103;147865;2;73932;1
3104;147866;3;49288;2
3105;147868;3;49289;1
3106;147869;6;24644;5
3107;147874;3;49291;1
3108;147875;3;49291;2
3109;147877;2;73938;1
3110;147878;24;6161;14
3111;147892;3;49297;1
3112;147893;3;49297;2
3113;147895;2;73947;1
3114;147896;49297;3;5
3115;147901;2;73950;1
3116;147902;3;49300;2
3117;147904;3;49301;1
3118;147905;61;2424;41
3119;147946;3;49315;1
3120;147947;3;49315;2
3121;147949;2;73974;1
3122;147950;7;21135;5
3123;147955;2;73977;1
3124;147956;3;49318;2
3125;147958;3;49319;1
3126;147959;15;9863;14
3127;147973;2;73986;1
3128;147974;3;49324;2
3129;147976;3;49325;1
3130;147977;6;24662;5
3131;147982;3;49327;1
3132;147983;3;49327;2
3133;147985;2;73992;1
3134;147986;49207;3;365
3135;148351;2;74175;1
